# TESS Object of Interest
# File Created: 2019-10-29
# Sectors: S0001-S0015
# Date of previous TOI list release: 2019-10-17
Source Pipeline,TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TMag Value,TMag Uncertainty,Orbital Epoch Value,Orbital Epoch Uncertainty,Orbital Period Value,Orbital Period Uncertainty,Transit Duration (hours) Value,Transit Duration (hours) Uncertainty,Transit Depth Value,Transit Depth Uncertainty,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Uncertainty,Planet Radius Value,Planet Radius Uncertainty,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,TFOP Master,TFOP SG1a,TFOP SG1b,TFOP SG2,TFOP SG3,TFOP SG4,TFOP SG5,Alerted,Edited
spoc,97409519,113.01,KP,332.714323,-30.749674,12.143000,0.018000,1327.053085,0.000623,3.372877,0.000147,2.634260,0.043644,17163.604190,212.405870,1,WASP-124,4.450610,0.000000,1,1.020000,0.000000,14.201803,0.154789,1270.187448,6050.000000,0.000000,615.165921,0.829214,False,5,5,5,5,5,5,5,2018-09-05T18:49:20+00:00,2019-10-17 00:41:47.624418+00:00
spoc,201248411,129.01,PC,0.187097,-54.830506,9.823570,0.016928,1354.552404,0.000149,0.980981,0.000010,0.743316,0.014155,7028.417670,120.825810,2,TOI 129.01,4.499140,0.338797,1,0.782459,0.124009,9.218137,2.036007,0.000000,4486.000000,175.000000,0.000000,108.864296,False,3,4,3,3,4,4,4,2018-10-22T19:57:31+00:00,2019-10-17 00:41:41.945712+00:00
spoc,29344935,109.01,KP,313.215480,-25.687338,13.180000,0.019000,1326.127529,0.001296,2.766737,0.000254,2.568721,0.112022,15691.951170,490.081050,1,HATS-14,4.488230,0.000000,1,0.930000,0.000000,11.661768,0.527223,0.000000,5346.000000,0.000000,0.000000,0.834164,False,3,4,3,3,4,4,4,2018-09-05T18:34:19+00:00,2019-10-17 00:41:50.437058+00:00
spoc,281459670,110.01,KP,5.618692,-59.942551,11.632000,0.018000,1328.040464,0.000446,3.174305,0.000044,2.723339,0.030983,15603.693104,151.402710,"2, 1",HATS-30,4.425240,0.000000,1,1.060000,0.000000,13.668801,0.126250,1293.941810,5943.000000,0.000000,662.491006,100.352080,False,5,5,5,5,5,5,5,2018-11-14T15:06:55+00:00,2019-10-17 00:41:48.801418+00:00
qlp,79395355,164.01,PC,320.054165,-51.309907,11.388000,0.019000,1328.337330,0.003770,7.318980,0.002240,3.771000,0.886000,3809.300000,10.200000,1,Potential blend with 79395356 to NE,4.270000,2.010000,1,1.300000,0.030000,8.796730,0.512370,1296.000000,5926.000000,79.500000,468.718000,17.000000,False,3,4,3,3,4,4,4,2018-09-05T18:52:24+00:00,2019-10-17 00:41:41.954448+00:00
spoc,270507305,827.01,PC,98.893377,-79.715873,11.458000,0.018000,1597.466299,0.000789,1.228087,0.000060,1.957121,0.058482,7408.177751,157.463130,11,,4.332330,2.003530,1,1.160950,1.160950,16.710808,19.520945,1838.433060,5848.000000,190.000000,2699.679986,32.573070,False,3,4,3,3,4,4,4,2019-06-17T17:15:53+00:00,2019-10-18 21:38:54.175082+00:00
spoc,235037761,131.01,PC,353.826767,-64.561769,9.737000,0.018000,1326.068952,0.000449,6.240662,0.000179,1.569129,0.040222,9113.476719,231.656560,1,V shaped,4.341970,0.433401,1,0.903104,0.188582,12.720704,4.591968,729.263490,4174.000000,172.000000,66.843455,0.815768,False,3,4,3,3,4,4,4,2018-09-05T18:51:57+00:00,2019-10-17 00:41:48.823067+00:00
spoc,290131778,123.01,PC,319.699400,-26.616077,8.803000,0.018000,1325.375658,0.000473,3.308754,0.000101,5.634728,0.031274,3177.131896,28.132027,1,,4.271660,2.005860,1,1.318870,1.318870,7.723223,7.723462,1461.728795,6188.000000,194.000000,1078.917433,0.920341,False,3,4,3,3,4,4,4,2018-09-05T18:51:57+00:00,2019-10-17 00:41:40.055350+00:00
spoc,280830734,188.01,PC,44.555164,-70.760917,9.426000,0.018000,1325.777845,0.002426,1.162031,0.000088,1.172865,0.184116,341.597999,92.848785,"2, 1",V-shaped; variable slightly evolved star,4.180000,0.270000,1,1.605170,0.232560,4.631340,7.471795,2271.982795,6340.300000,204.000000,6297.108187,10.150243,False,3,4,3,3,4,4,4,2018-11-03T00:53:39+00:00,2019-10-17 00:41:41.962365+00:00
qlp,393940766,148.01,PC,338.320677,-38.159717,11.727000,0.018000,1327.331330,0.002410,4.866100,0.001010,3.215000,0.228000,5029.020000,4.710000,1,Planet candidate around 393940766 to the NW.,4.340000,2.000000,1,1.240000,0.400000,9.701060,3.161250,1184.000000,5814.300000,793.800000,326.710000,26.000000,False,3,4,3,3,4,4,4,2018-09-05T18:52:24+00:00,2019-10-17 00:41:41.143621+00:00
spoc,52368076,125.01,PC,23.594697,-66.675830,10.138000,0.017000,1327.432906,0.001879,4.653811,0.000289,2.921928,0.288457,1007.882466,50.584927,"2, 1",,4.470720,0.285010,1,0.899270,0.116155,2.863905,1.099036,944.542060,5154.000000,182.000000,188.107541,17.438063,False,2,4,1,1,4,4,4,2018-10-19T23:49:42+00:00,2019-10-17 00:41:48.830551+00:00
qlp,403287048,152.01,PC,332.357821,-62.333998,11.280000,0.018000,1327.923370,0.004940,7.007760,0.003150,2.680000,0.824000,3666.990000,18.000000,1,,4.230000,0.450000,1,1.220000,0.040000,8.128800,0.625284,1161.000000,6347.000000,102.600000,302.511000,16.000000,False,3,4,3,3,4,4,4,2018-09-05T18:52:24+00:00,2019-10-17 00:41:43.936654+00:00
spoc,62483237,139.01,PC,336.402307,-34.909623,9.295000,0.020000,1334.896388,0.001811,11.058421,0.002570,2.136519,0.327214,1367.122742,100.496700,1,Level 1 candidate,4.534910,0.360800,1,0.738419,0.125859,2.687866,1.814681,564.767748,4356.000000,173.000000,24.043659,0.888537,False,2,4,1,1,4,4,4,2018-09-05T18:51:57+00:00,2019-10-17 00:41:41.085190+00:00
qlp,369457671,168.01,PC,311.643495,-37.904371,11.419000,0.018000,1326.499960,0.004030,2.312570,0.000780,1.459000,0.202000,2248.690000,6.980000,1,,,,1,0.650000,0.030000,3.382440,0.258351,972.000000,4801.500000,126.200000,148.536000,9.000000,False,3,4,3,3,4,4,4,2018-09-05T18:52:24+00:00,2019-10-17 00:41:40.951546+00:00
qlp,233964642,334.01,PC,36.498808,-63.647560,9.542000,0.019000,1325.445860,0.001380,17.915630,0.000970,1.974000,0.059000,62574.100000,536.592000,2,v-shaped; source is possibly 233964643,4.110000,0.310000,1,1.600000,0.050000,44.005300,4.322540,683.000000,6090.200000,99.100000,36.138600,141.000000,False,3,4,3,3,4,4,4,2018-09-29T02:24:31+00:00,2019-10-17 00:41:44.762298+00:00
qlp,355636844,146.01,KP,358.301495,-56.013040,10.241000,0.019000,1330.556180,0.004450,6.296320,0.004010,2.938000,0.305000,979.326000,1.890000,1,Signal coming from a faint star to the SE. At least for the brighter of those it could be a planet.,,,1,,,,,0.000000,6905.000000,204.000000,0.000000,15.000000,False,3,4,3,3,4,4,4,2018-09-05T18:35:00+00:00,2019-10-17 00:41:44.272579+00:00
qlp,29857954,172.01,PC,316.631883,-26.692620,10.711000,0.019000,1326.919730,0.005290,9.475720,0.003160,4.709000,0.382000,4225.940000,5.580000,1,Star to NW checked. Transit likely on the target.,4.320000,2.000000,1,1.700000,0.140000,12.191700,1.069000,1031.000000,5801.800000,235.600000,187.637000,11.000000,False,3,4,3,3,4,4,4,2018-09-05T18:52:24+00:00,2019-10-17 00:41:41.174507+00:00
qlp,99493790,162.01,PC,317.639656,-23.305696,11.617000,0.018000,1332.981880,0.000710,7.766860,0.000940,3.291000,0.097000,24391.200000,7.830000,1,,4.400000,2.000000,1,1.020000,0.020000,17.508700,0.418873,840.000000,5404.700000,43.000000,82.921600,74.000000,False,3,4,3,3,4,4,4,2018-09-05T18:52:24+00:00,2019-10-17 00:41:41.150788+00:00
