radius_bin,insol_bin,st_Teff_bin,Source Pipeline,TIC,Full TOI ID,TIC Right Ascension,TIC Declination,TMag Value,TMag Uncertainty,Orbital Epoch Value,Orbital Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Error,Planet Radius Value,Planet Radius Error,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,Alerted,Updated,Stellar Mass,Target,RA,Dec,V mag,J mag,H mag,K mag,Ars,pl_masses,K_amp,TSM,radius_bin,insol_bin,st_Teff_bin,priority,highestp
1,4,2,,,Kepler-1075 b,,47.469269,,,,,1.52372816,,,,,,,,,,,0.54,,1.42,,,3959.0,,140.6572648634143,,,,,0.56,,,,,13.217,,,8.508174866131547,2.6064,2.13565158071815,1.561501291564332,1,4,2,0.0,0
1,4,2,,,Kepler-80 f,,39.978778999999996,,,,,0.9867873,,,,,,,,,,,0.68,,1.21,,,4540.0,,576.8938546996693,,,,,0.73,,,,,12.954,,,5.5247195531206374,1.9229,1.5261039836110797,1.3265417514950602,1,4,2,0.0,0
1,4,2,,,Kepler-975 b,,38.495275,,,,,1.97034246,,,,,,,,,,,0.75,,1.48,,,4897.0,,355.43646505048895,,,,,0.8,,,,,12.807,,,8.188902595355463,2.7964,1.65809437950209,1.3008259152474888,1,4,2,0.0,0
1,4,2,,,Kepler-787 b,,38.572907,,,,,0.9283105,,,,,,,,,,,0.62,,1.28,,,4248.0,,430.8798065840617,,,,,0.65,,,,,13.937000000000001,,,5.596769658734348,2.1848,1.912004362853364,0.9828545155838369,1,4,2,0.0,0
1,4,2,,,Kepler-1366 b,,41.554874,,,,,2.16457097,,,,,,,,,,,0.6,,1.43,,,4070.0,,113.49007675056063,,,,,0.62,,,,,13.772,,,10.010513632717247,2.6377,1.796487419497362,0.9368823211151053,1,4,2,0.0,0
1,4,3,,,K2-291 b,,21.54863,,,,,2.225177,,,,,,,,,,,0.9,,1.589,,,5520.0,,635.5278675827973,,,,,0.93,,,,10.014,8.765,,,7.7813928901224685,6.49,3.342348473227443,23.763364470334178,1,4,3,1.0,1
1,4,3,,,K2-58 c,,-14.049807999999999,,,,,2.53726,,,,,,,,,,,0.86,,1.62,,,5413.0,,463.8423096304388,,,,,0.89,,,,12.378,10.765,,,8.7586538252318,3.2608,1.6552350882347824,20.197558389803245,1,4,3,3.0,3
1,4,3,,,K2-138 b,,-10.849696,,,,,2.35322,,,,,,,,,,,0.86,,1.57,,,5378.0,,485.2617631346092,,,,,0.93,,,,12.21,10.755999999999998,,,8.452789379473742,3.0916,1.5627553935269962,19.6922380654803,1,4,3,2.0,2
1,4,3,,,Kepler-1065 c,,38.790501,,,,,2.37030743,,,,,,,,,,,0.93,,1.6,,,5635.0,,672.5915760597619,,,,,0.94,,,,,14.177999999999999,,,7.8824026675682655,3.1927,1.5985338396567472,3.8730767029039015,1,4,3,0.0,0
1,4,3,,,Kepler-1282 b,,46.698338,,,,,2.13194651,,,,,,,,,,,0.89,,1.55,,,5504.0,,655.0906612626852,,,,,0.92,,,,,14.318,,,7.619958991710272,3.025,1.5916903251978476,3.77961320551345,1,4,3,0.0,0
