fpl_name,rp,teff,sinc,mp,period,TSM
HATS-5 b,10.222999999999999,5304.0,182.48136930123337,75.323,4.763387,127.03023650934345
HATS-50 b,12.665999999999999,5990.0,568.6851442703089,123.9537,3.8297015,60.53051756646869
HATS-51 b,15.805,5758.0,949.1210126470236,244.09344,3.3488702,78.31885168957966
HATS-52 b,15.491,6010.0,2072.63073885092,711.9392,1.36665436,32.03176332220341
HATS-53 b,15.02,5644.0,489.22598261270946,189.10885,3.8537768,71.93221908202939
HATS-54 b,11.96,5702.0,1165.9220900249807,241.5508,2.5441828,22.863256294181006
HATS-55 b,14.022,6214.0,582.1240879123156,292.72143,4.2042001,39.54630227558433
HATS-56 b,18.921,6536.0,2174.093510466897,191.33366,4.324799,126.28407194571194
HATS-57 b,12.767000000000001,5587.0,659.9755939701978,1000.21101,2.350621,22.38452859663187
HATS-58 A b,12.274000000000001,7175.0,1447.579467880161,327.3649,4.2180896,41.71077686428717
HATS-59 b,12.620999999999999,5670.0,269.0,256.17098,5.416081,28.53987555281137
HATS-6 b,11.187000000000001,3724.0,42.90499594825318,101.38776999999999,3.3252725,135.82074364538877
HATS-60 b,12.924000000000001,5688.0,903.9,210.40346,3.560829,44.82160279014033
HATS-61 b,13.395,5542.0,374.2,1080.622,7.817953,4.79135874018807
HATS-63 b,13.529000000000002,5627.0,634.1,305.1168,3.0566527,33.9550694047018
HATS-64 b,18.82,6554.0,1711.0,305.1168,4.908897,40.87223112778035
HATS-65 b,16.825,6277.0,1178.0,260.93843,3.105161,104.58855314506401
HATS-66 b,15.815999999999999,6626.0,2637.0,1694.0339,3.1414391,3.830729005058952
HATS-67 b,18.887,6594.0,3821.0,460.8535,1.6091788,52.69114880601199
HATS-68 b,13.809000000000001,6147.0,1521.0,410.0007,3.5862202,23.619745468591184
HATS-7 b,6.311,4985.0,225.71161680120633,38.1396,3.185315,61.71210386439071
HATS-70 b,15.513,7930.0,9110.0,4100.007,1.8882378,3.046855734261779
HATS-72 b,8.097000000000001,4656.1,49.58,39.85588,7.3279474,179.56591659429472
HATS-8 b,9.785,5679.0,507.7721414614933,43.86054,3.583893,65.64569384895209
HATS-9 b,13.85,5599.0,2210.6599442787915,266.02371,1.915291,37.83935882887205
HD 106315 b,2.44,6327.0,240.0,12.6,9.55237,23.641838398226394
HD 106315 c,4.35,6327.0,83.0,15.2,21.05704,77.87625526219799
HD 1397 b,11.5,5521.0,356.0,131.89945,11.53533,153.32292503167483
HD 149026 b,8.295,6179.0,1314.0990615233993,120.7754,2.87589,172.8713379489528
HD 15337 b,1.64,5125.0,160.32786423136815,7.51,4.75615,30.609283723323355
HD 15337 c,2.39,5125.0,28.931622056161576,8.11,17.1784,57.177524994139766
HD 158259 b,1.29,5928.0,1425.3325586586166,2.22,2.178,18.976395953136873
HD 17156 b,12.33,6040.0,101.4305767369543,1115.5833,21.21663,27.283467113458393
HD 189733 b,12.665999999999999,5052.0,356.0,359.1479,2.21857567,848.572390670516
HD 209458 b,15.581,6091.0,741.5601927677437,232.0159,3.52474859,925.005723144649
HD 213885 b,1.745,5978.0,3423.9286194921733,8.83,1.008035,58.126959432253834
HD 219134 b,1.6019999999999999,4699.0,176.2,4.74,3.092926,292.0180441092127
HD 219134 c,1.511,4699.0,62.1,4.36,6.76458,205.21871411488715
HD 219666 b,4.71,5527.0,223.1038623548107,16.6,6.03607,142.7711513645683
HD 221416 b,9.17,5080.0,342.9213364899368,60.5,14.2767,98.73931367550527
HD 23472 b,4.42,4826.33,17.834524818152232,17.92,17.667,159.1226393707608
HD 23472 c,4.31,4826.33,8.952290005861336,17.18,29.625,129.53286522975597
HD 2685 b,16.141,6801.0,1451.7533589178802,371.8611,4.12688,157.85853999888778
HD 3167 b,1.7,5528.0,1625.0,5.02,0.959624,91.73142906211068
HD 3167 c,2.86,5528.0,16.6,9.8,29.83832,72.28177438890476
HD 332231 b,9.718,6089.0,98.09,77.55051999999999,18.71204,229.22314382634812
HD 80606 b,11.994000000000002,5561.0,4.117001872115493,1392.0954,111.4367,15.067292814779057
HD 80653 b,1.6130000000000002,5838.0,5625.492666489043,5.6,0.719573,33.253837102070854
HD 89345 b,7.398,5576.0,233.48385835654452,34.9613,11.8143,114.071468269197
HD 95338 b,3.89,5212.0,7.42,42.44,55.087,40.52440294088015
HD 97658 b,2.354,5175.0,49.48884798862418,9.5349,9.4909,133.65119308950756
HIP 116454 b,2.4659999999999997,5089.0,49.19477096832768,12.7132,9.1205,40.22956076946198
HIP 65 A b,22.754,4590.0,661.0,1021.1877900000001,0.9809734,591.9908659979386
K2-10 b,3.84,5620.0,54.1,27.0,19.3044,12.43915161250866
K2-105 b,3.37,5464.0,104.13447876669628,30.0,8.267704,13.678231039892323
K2-107 b,15.98,6061.0,1760.0090418667608,266.9772,3.313959,47.10979687674915
K2-108 b,5.33,5599.0,762.0,59.4,4.733999,8.926157488753084
K2-110 b,2.56,4950.0,25.790298606095956,16.7,13.86387,14.482949970415724
K2-111 b,1.9,5730.0,444.54352393918606,8.6,5.35117,9.454463971200653
K2-113 b,12.14,5660.0,344.2116947536962,410.0007,5.817685,13.288256506408183
K2-114 b,10.67,5044.0,45.12197550641614,587.9855,11.391013,6.5886828331523
K2-115 b,12.06,5657.0,34.781927721074354,266.9772,20.272615,25.001975365930402
K2-131 b,1.7,5245.0,4228.009025914707,6.3,0.36931,30.18032240176074
K2-132 b,14.572000000000001,4840.0,942.4934693465034,155.7367,9.1751,22.17420988285933
K2-139 b,9.11,5370.0,17.90845843416296,123.00021000000001,28.380619,48.21497992058789
K2-140 b,12.25,5705.0,188.5,323.86877000000004,6.56918,36.158182448293964
K2-141 b,1.51,4599.0,3319.125844761676,5.08,0.2803244,59.485544934330655
