Planet Radius Value,Stellar Mass,Orbital Period Value,Star Radius Value,Effective Temperature Value,J mag,TIC Declination,Effective Stellar Flux Value,pl_masses,mass_flag,Ars,K_amp,TSM,Full TOI ID
4.57,0.54,3.3366496,0.55,3600.0,8.794,15.391492000000001,36.00237046326799,13.9,1.0,13.916759653340712,8.98599026383986,310.40213575289005,GJ 3470 b
1.217,0.34,3.93072,0.34,3505.0,7.337000000000001,-21.660797,12.6,1.84,1.0,21.522429298673355,1.5331748714812619,29.320883886830114,GJ 357 b
4.17,0.47,2.64388312,0.46,3479.0,6.9,26.706570000000003,32.86125607969404,22.1,1.0,13.603963286468531,16.93675225380751,495.798003425021,GJ 436 b
1.577,0.61,1.2089819,0.6,4340.0,7.984,-1.286273,315.0,4.91,1.0,6.7525486651180575,4.10492776887484,83.54539226882837,GJ 9827 b
2.022,0.61,6.2014698,0.6,4340.0,7.984,-1.286273,35.6,4.04,1.0,20.084033891079656,1.958455830257024,124.10217469897373,GJ 9827 d
14.785,1.15,4.46529976,1.17,5980.0,9.156,38.674953,508.1392749754556,166.86075,1.0,10.221382952400125,59.13654421870921,317.4441063564233,HAT-P-1 b
4.36,0.81,4.88780244,0.68,4780.0,7.608,48.080856,100.77,26.69772,1.0,16.619744833615727,11.59747550418559,192.60432348577746,HAT-P-11 b
10.749,0.73,3.2130598,0.7,4650.0,10.794,43.493534000000004,139.62823972511472,67.059,1.0,11.79011246736739,35.90757534100428,288.75389906583246,HAT-P-12 b
14.258,1.22,2.91625,1.56,5653.0,9.328,47.352051,1223.9526167848019,270.462,1.0,5.885377734995982,106.21241930153532,113.70905132391322,HAT-P-13 b
15.917,2.65,4.62767,1.82,6600.0,9.094,38.242165,997.1116320093636,1093.3352,1.0,8.88821708786067,219.47537734784274,30.423347200857005,HAT-P-14 b
11.882,1.0,10.8635,1.07,5568.0,10.193999999999999,39.460636,107.15451122969354,616.5902,1.0,19.297093315425492,178.34346986648984,22.399616945678137,HAT-P-15 b
14.448,1.22,2.77596,1.24,6158.0,9.85,42.463078,1162.92124820752,1332.605,1.0,7.164780499235134,531.9951428131282,29.505261788429255,HAT-P-16 b
11.769,0.99,10.33852,0.87,5246.0,9.017000000000001,30.488715999999997,60.03290789186147,184.3414,1.0,22.88550793869395,54.5712386500609,163.82800875280236,HAT-P-17 b
11.152999999999999,0.77,5.508023,0.75,4803.0,10.822000000000001,33.012512,85.82037724573335,62.61,1.0,16.044590500594673,27.03347170453469,263.05101783147666,HAT-P-18 b
12.689,0.84,4.008778,0.82,4990.0,11.095,34.711575,172.27941070682766,92.802,1.0,12.223148162281804,42.03563963269464,229.50333540165016,HAT-P-19 b
10.66,1.33,5.6335158,1.39,6380.0,7.796,41.048084,618.6488671020212,2765.121,1.0,10.544304039039538,823.1337168511049,9.99591223337617,HAT-P-2 b
9.718,0.76,2.875317,0.69,4595.0,9.276,24.33663,146.03464397806306,2302.899,1.0,11.257494849534684,1245.7219094586196,13.01083266290242,HAT-P-20 b
12.442,1.24,4.12448,1.21,5588.0,10.503,41.027954,438.08860844018403,1547.8321,1.0,9.612370197682896,535.6776278634649,9.880979473409152,HAT-P-21 b
12.89,1.13,3.21222,1.11,5302.0,8.293,50.128345,443.6268968108295,785.0401,1.0,8.599420497742708,314.16295172465567,71.45110117802714,HAT-P-22 b
12.218,0.58,1.21288,0.96,5905.0,11.103,16.762152,2918.224200299596,425.8922,1.0,4.1589064372844575,367.8399792611326,65.83720409423992,HAT-P-23 b
